"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Tyjae Spears","TEN","RB42","94.8","379.6","3.0","45.8","306.1","1.2","0.7","115.2"
"Rashod Bateman","BAL","WR61","0.0","0.0","0.0","38.8","598.6","6.0","0.2","114.8"
"Isiah Pacheco","DET","RB43","148.2","628.7","3.8","21.6","135.1","0.9","0.8","113.6"
"Zach Charbonnet","SEA","RB44","130.5","533.0","5.6","19.8","147.0","0.5","0.7","113.2"
"Keenan Allen","IND","WR62","0.0","0.0","0.0","58.6","607.2","3.8","0.3","112.5"
"Woody Marks","HOU","RB45","142.7","555.8","2.7","24.1","197.0","1.8","0.8","112.3"
"Jalen McMillan","TB","WR63","4.7","26.8","0.1","46.6","607.3","3.9","0.2","110.5"
"Jauan Jennings","MIN","WR64","0.0","0.0","0.0","48.7","557.7","5.2","0.7","109.7"
"T.J. Hockenson","MIN","TE20","0.0","0.0","0.0","63.9","574.5","3.3","0.2","108.7"
"Pat Freiermuth","PIT","TE21","0.0","0.0","0.0","53.0","560.0","4.3","0.2","107.6"
"Ja'Kobi Lane","BAL","WR65","1.5","8.5","0.0","37.8","569.3","5.2","0.7","106.8"
"Greg Dulcich","MIA","TE22","0.0","0.0","0.0","54.6","620.0","3.2","1.2","106.2"
"Jalen Nailor","LV","WR66","2.0","9.0","0.0","43.7","587.7","4.0","0.2","105.3"
"Terrance Ferguson","LAR","TE23","0.0","0.0","0.0","39.0","533.4","5.1","0.2","103.3"
"Devaughn Vele","NO","WR67","0.0","0.0","0.0","47.3","567.7","3.7","0.2","102.1"
"Kayshon Boutte","HOU","WR68","0.0","0.0","0.0","39.9","555.9","4.4","0.2","101.8"
"Alvin Kamara","NO","RB46","114.0","440.1","2.4","32.6","228.3","1.0","0.8","101.6"
"Cooper Kupp","SEA","WR69","0.5","1.5","0.0","47.4","584.8","3.4","0.7","101.5"
"Cade Otton","TB","TE24","0.0","0.0","0.0","54.8","557.4","3.1","0.1","101.5"
"Kenyon Sadiq","NYJ","TE25","0.0","0.0","0.0","49.0","537.6","4.0","0.7","100.8"
"AJ Barner","SEA","TE26","0.0","0.0","0.0","48.6","469.9","4.9","0.2","100.1"
"Chig Okonkwo","WAS","TE27","0.0","0.0","0.0","52.8","569.5","2.8","0.1","99.8"
"Tank Dell","HOU","WR70","10.2","48.8","0.1","42.2","527.1","3.2","0.2","98.2"
"Justice Hill","BAL","RB47","56.4","273.7","2.2","32.7","283.4","1.8","0.2","95.7"
"Adonai Mitchell","NYJ","WR71","2.1","5.1","0.1","39.9","550.5","3.3","0.7","94.2"
"Darren Waller","CAR","TE28","0.0","0.0","0.0","43.4","446.5","4.7","0.1","94.2"
"Chris Rodriguez Jr.","JAC","RB48","135.5","560.8","5.1","5.4","42.8","0.1","0.6","92.9"
"Mike Washington Jr.","LV","RB49","126.0","487.1","3.1","17.7","143.5","0.6","1.2","92.0"
"Travis Hunter","JAC","WR72","2.0","10.8","0.1","41.6","496.6","3.3","0.4","91.0"
"AJ Dillon","CAR","RB50","121.0","532.0","3.0","18.0","146.0","1.0","5.0","90.8"
"Dylan Sampson","CLE","RB51","74.2","257.2","1.4","36.3","285.1","2.1","1.2","90.6"
"Evan Engram","DEN","TE29","0.0","0.0","0.0","53.4","475.9","2.7","0.1","90.4"
"Tyler Allgeier","ARI","RB52","111.7","425.3","4.7","17.1","110.9","0.2","0.6","90.0"
"Braelon Allen","NYJ","RB53","111.8","449.0","4.5","13.9","100.6","0.7","1.7","89.5"
"Malik Washington","MIA","WR73","13.5","80.8","0.7","45.4","411.9","2.4","0.8","88.9"
"Germie Bernard","PIT","WR74","2.1","10.8","0.0","41.2","508.2","2.9","0.7","88.6"
"Dontayvion Wicks","PHI","WR75","0.0","0.0","0.0","39.5","517.7","2.9","0.4","88.2"
"Jordyn Tyson","NO","WR76","1.0","3.5","0.0","37.8","529.1","2.9","0.7","87.9"
"Bub Means","NO","WR77","1.0","7.0","0.0","38.0","519.0","3.0","1.0","87.6"
